field_1,﻿recid,location,event,eventType,xcoord,ycoord,dt,_date,_time,lon,lat
107,930,MONTICELLO AVENUE & E 24TH STREET,Irene (8/27/2011),Flooded street,12131346.0001,3483590.74996,2011-08-27 06:35:50.000,8/27/2011 ,2011-08-27 06:35:50.000,-76.283145,36.869312
108,931,MONTICELLO AVENUE & E 25TH STREET,Irene (8/27/2011),Flooded street,12131445.5001,3483839.24992,2011-08-27 06:36:45.000,8/27/2011 ,2011-08-27 06:36:45.000,-76.282785,36.869988
109,933,900 BLOCK OF BAGNALL ROAD,Irene (8/27/2011),Flooded street,12133471.296,3478200.46488,2011-08-27 06:48:08.000,8/27/2011 ,2011-08-27 06:48:08.000,-76.276315,36.854374
110,941,BOUSH STREET & W OLNEY ROAD,Irene (8/27/2011),Flooded street,12129207,3478802.50015,2011-08-27 08:32:00.000,8/27/2011 ,2011-08-27 08:32:00.000,-76.290838,36.856302
111,942,W OLNEY ROAD & W VIRGINIA BEACH BOULEVARD,Irene (8/27/2011),Flooded street,12128851.3705,3478992.19514,2011-08-27 08:34:34.000,8/27/2011 ,2011-08-27 08:34:34.000,-76.292038,36.856846
112,943,1600 BLOCK OF MELON STREET,Irene (8/27/2011),Flooded street,12137300.8332,3467933.59102,2011-08-27 08:50:31.000,8/27/2011 ,2011-08-27 08:50:31.000,-76.264061,36.825934
113,945,GRACE STREET & YARMOUTH STREET,Irene (8/27/2011),Flooded street,12128377,3478506.50002,2011-08-27 09:27:23.000,8/27/2011 ,2011-08-27 09:27:23.000,-76.293698,36.855542
114,948,DELAWARE AVENUE & LLEWELLYN AVENUE,Irene (8/27/2011),Flooded street,12131024.0001,3488692.25008,2011-08-27 09:37:07.000,8/27/2011 ,2011-08-27 09:37:07.000,-76.283836,36.883341
115,949,4600 BLOCK OF MAYFLOWER ROAD,Irene (8/27/2011),Flooded street,12128664,3489871.49985,2011-08-27 09:38:10.000,8/27/2011 ,2011-08-27 09:38:10.000,-76.291808,36.886731
116,951,400 BLOCK OF TIDEWATER DRIVE,Irene (8/27/2011),Flooded street,12133196.7198,3475469.48637,2011-08-27 09:46:02.000,8/27/2011 ,2011-08-27 09:46:02.000,-76.277473,36.846893
117,952,DUKE STREET & W VIRGINIA BEACH BOULEVARD,Irene (8/27/2011),Flooded street,12128851.3705,3478992.19514,2011-08-27 09:54:51.000,8/27/2011 ,2011-08-27 09:54:51.000,-76.292038,36.856846
118,953,BOUSH STREET & W VIRGINIA BEACH BOULEVARD,Irene (8/27/2011),Flooded street,12129168.678,3479134.05056,2011-08-27 09:56:52.000,8/27/2011 ,2011-08-27 09:56:52.000,-76.290942,36.857215
119,954,7TH BAY STREET & PRETTY LAKE AVENUE,Irene (8/27/2011),Flooded street,12152209.9999,3506590.74995,2011-08-27 10:04:13.000,8/27/2011 ,2011-08-27 10:04:13.000,-76.209935,36.931098
120,956,3RD BAY STREET & PRETTY LAKE AVENUE,Irene (8/27/2011),Flooded street,12150953,3507309.75004,2011-08-27 10:07:19.000,8/27/2011 ,2011-08-27 10:07:19.000,-76.214175,36.933156
121,958,300 BLOCK OF E LITTLE CREEK ROAD,Irene (8/27/2011),Flooded street,12136613.5334,3501468.00149,2011-08-27 10:08:27.000,8/27/2011 ,2011-08-27 10:08:27.000,-76.263695,36.918059
122,989,I-264W HIGHWAY & BALLENTINE BOULEVARD,Irene (8/27/2011),Flooded street,12140462,3475246.5825,2011-08-27 11:13:32.000,8/27/2011 ,2011-08-27 11:13:32.000,-76.252670,36.845808
123,990,TIDEWATER DRIVE & WILLOW WOOD DRIVE,Irene (8/27/2011),Flooded street,12137966,3490216.25014,2011-08-27 11:14:24.000,8/27/2011 ,2011-08-27 11:14:24.000,-76.259983,36.887075
124,995,E VIRGINIA BEACH BOULEVARD & PARK AVENUE,Irene (8/27/2011),Flooded street,12136628.5001,3477394.62495,2011-08-27 11:22:29.000,8/27/2011 ,2011-08-27 11:22:29.000,-76.265593,36.851956
125,996,E BRAMBLETON AVENUE & I-264W HIGHWAY,Irene (8/27/2011),Flooded street,12135922.4999,3474922.62506,2011-08-27 11:23:47.000,8/27/2011 ,2011-08-27 11:23:47.000,-76.268205,36.845214
126,998,SCOTT STREET & TRANT AVENUE,Irene (8/27/2011),Flooded street,12143818.9999,3477008.00014,2011-08-27 11:26:30.000,8/27/2011 ,2011-08-27 11:26:30.000,-76.241056,36.850425
